FP(6.46, 0.000040, 511., 2030., 2794.)
FP(6.48, 0.000200, 275., 1961., 2872.)
FP(6.50, 0.003000, 395., 2047., 2682.)
FP(6.62, 0.014000, 428., 2174., 2640.)
FP(6.72, 0.000100, 322., 2307., 2383.)
FP(6.74, 0.000040, 288., 1190., 2664.)
FP(6.76, 0.000000, 277., 1226., 2168.)
FP(6.78, 0.000000, 324., 1844., 2685.)
FP(6.80, 0.000000, 442., 1374., 2417.)
FP(6.82, 0.000001, 858., 1289., 2403.)
FP(6.84, 0.000030, 698., 1358., 2458.)
FP(6.90, 0.000900, 856., 1427., 2508.)
FP(6.96, 0.007000, 390., 1630., 2390.)
FP(6.98, 0.000100, 553., 1627., 2320.)
FP(7.00, 0.000030, 512., 1316., 2284.)
FP(7.02, 0.003000, 527., 1476., 2851.)
FP(7.04, 0.011000, 1040., 1431., 3090.)
FP(7.06, 0.011000, 931., 1398., 2688.)
FP(7.08, 0.004000, 323., 1108., 2503.)
FP(7.10, 0.005000, 521., 1236., 2526.)
FP(7.14, 0.000900, 252., 1273., 2529.)
FP(7.20, 0.006000, 347., 1392., 2846.)
FP(7.22, 0.046000, 644., 1564., 2809.)
FP(7.28, 0.078000, 941., 1474., 2677.)
FP(7.34, 0.015000, 517., 1785., 2647.)
FP(7.38, 0.003000, 343., 1537., 2525.)
FP(7.42, 0.000800, 300., 1359., 2526.)
FP(7.44, 0.010000, 933., 1255., 2651.)
FP(7.46, 0.013000, 460., 1074., 2583.)
FP(7.50, 0.013000, 449., 852., 2877.)
FP(7.64, 0.030000, 713., 1018., 2572.)
FP(7.70, 0.010000, 522., 1032., 2849.)
FP(7.72, 0.001000, 311., 1086., 2843.)
FP(7.74, 0.002000, 273., 1084., 2705.)
FP(7.76, 0.003000, 376., 998., 2703.)
FP(7.82, 0.005000, 406., 842., 2719.)
FP(7.84, 0.006000, 414., 986., 2627.)
FP(7.88, 0.008000, 392., 1374., 2501.)
FP(7.92, 0.000600, 291., 1411., 2448.)
FP(7.96, 0.000600, 443., 1427., 2388.)
FP(7.98, 0.010000, 335., 1399., 2398.)
FP(8.00, 0.057000, 594., 1445., 2511.)
FP(8.04, 0.066000, 842., 1415., 2659.)
FP(8.10, 0.036000, 922., 1399., 2672.)
FP(8.14, 0.024000, 758., 1305., 2630.)
FP(8.20, 0.012000, 524., 1616., 2262.)
FP(8.22, 0.000400, 697., 1297., 3315.)
