intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.0002	521.5	1965.7	2939.7	4203.3	4881.4
0.0008	428.6	1988.4	3027.4	4221.0	--undefined--
0.012	427.9	2024.7	2703.0	4010.7	4795.1
0.039	392.8	2075.6	2722.1	3925.7	4314.1
0.041	397.0	2083.4	2685.9	3933.0	4313.2
0.053	461.7	2106.3	2659.5	3861.4	4303.0
0.049	425.7	2139.9	2654.1	3905.3	4279.2
0.055	421.0	2168.4	2686.3	3823.5	4261.7
0.048	460.7	2179.6	2666.0	3852.9	4170.6
0.066	395.5	2242.0	2671.5	3859.6	4315.5
0.032	375.5	2226.5	2667.3	3783.6	4301.9
0.007	368.1	2230.9	2660.8	3740.5	4347.3
0.0006	361.5	2352.3	3696.0	3897.5	--undefined--
0.0002	639.6	2363.7	3329.9	4021.3	--undefined--
0.000002	1049.1	2233.0	3362.3	3756.0	--undefined--
0.000002	1129.9	2373.4	2721.1	3950.5	--undefined--
0.000002	382.8	1361.1	2657.8	3716.3	--undefined--
0.000002	994.5	2490.1	3183.6	3695.8	--undefined--
0.000004	646.5	2165.0	2347.6	3697.2	--undefined--
0.0001	885.3	1345.4	2570.1	3831.4	--undefined--
0.0002	898.3	1281.6	2538.8	3788.6	--undefined--
0.0007	745.8	1409.9	2602.1	3826.7	--undefined--
0.004	786.4	1142.1	2512.7	3606.6	--undefined--
0.048	708.6	1541.9	2394.6	3569.8	4579.2
0.028	531.5	1572.9	2361.4	3297.6	4464.3
0.0004	1501.0	2266.4	3460.6	4480.4	--undefined--
0.0001	568.3	1862.0	2273.4	3966.7	4903.3
0.00003	559.0	1453.1	3053.2	3508.5	--undefined--
0.008	1163.6	1430.5	2993.5	4013.7	4342.5
0.021	867.5	1425.0	3364.1	4248.1	--undefined--
0.002	365.1	1156.8	3326.2	4052.7	--undefined--
0.016	590.9	1196.6	2525.2	3582.8	4188.4
0.019	562.1	1248.5	2658.4	3851.5	4295.1
0.004	480.2	1309.4	2726.0	3874.9	--undefined--
0.0003	345.9	1293.6	2687.3	3913.4	--undefined--
0.0001	309.9	1342.6	2816.3	4023.4	--undefined--
0.001	289.5	1436.4	2773.4	3511.1	4684.0
0.023	291.9	1405.2	2668.1	3195.0	4610.9
0.186	788.4	1632.7	2838.7	3701.1	--undefined--
0.284	926.7	1540.1	2317.0	3147.0	3722.7
0.313	968.2	1516.1	2562.2	3547.3	3701.9
0.286	975.9	1576.9	2540.9	3723.1	--undefined--
0.164	827.2	1607.1	2534.5	3875.6	4513.7
0.062	734.2	1513.0	2567.3	3424.0	4076.2
0.028	510.4	1577.2	2568.9	2986.4	4526.9
0.013	486.7	1564.3	2498.0	2638.6	4607.3
0.001	410.7	1613.0	2663.6	4411.1	--undefined--
0.0004	658.9	1651.2	2675.9	4507.0	--undefined--
0.003	347.6	1353.5	2612.7	4420.7	--undefined--
0.041	473.9	1201.1	2595.1	3655.2	4413.4
0.050	519.6	1040.4	2776.1	3542.0	4589.3
0.054	595.3	871.0	2888.1	3483.5	5094.6
0.018	457.5	863.1	2811.4	3469.9	5049.0
0.023	477.4	917.9	2823.9	3441.8	--undefined--
0.073	746.5	756.7	2951.3	3416.7	--undefined--
0.161	702.0	943.2	2890.6	3462.7	4288.5
0.129	749.8	971.3	2765.5	3540.3	--undefined--
0.106	751.1	1005.2	2878.7	3464.0	5400.1
0.118	768.9	1030.8	2782.5	3534.3	--undefined--
0.120	802.9	1046.6	2701.3	3570.5	--undefined--
0.100	711.9	1057.8	2680.7	3228.3	3712.1
0.041	562.7	1046.1	2760.9	3712.1	3727.4
0.004	983.5	1303.9	2756.5	3702.9	--undefined--
0.003	832.0	1047.8	2779.2	3742.5	--undefined--
0.007	462.1	1140.2	2521.6	3441.6	4378.1
0.010	481.3	986.3	2680.2	3392.6	4331.9
0.010	463.7	897.4	2640.6	3408.1	4362.9
