intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.00005	822.0	1289.7	2535.9	3703.5	4620.0
0.0002	900.1	1321.6	2510.5	3661.3	4042.5
0.0009	845.1	1407.0	2525.6	3631.5	4056.8
0.012	770.7	1507.6	2430.8	3545.1	3918.8
0.012	594.6	1605.0	2297.5	3449.0	4381.5
0.007	496.7	1593.0	2336.9	3613.4	4421.3
0.0001	597.1	1616.6	2318.1	3791.7	4724.8
0.00003	663.3	1663.1	2446.2	3914.8	4709.3
0.003	608.0	1639.4	2687.0	3459.3	--undefined--
0.011	1054.1	1496.3	2504.7	3345.0	4162.3
0.011	879.1	1443.5	2363.5	3229.3	4090.1
0.004	542.1	1108.6	2473.8	3765.7	--undefined--
0.005	587.3	1222.0	2688.4	3836.8	4273.8
0.005	656.0	1388.7	2739.4	3965.7	--undefined--
0.0009	277.8	1257.0	2539.6	3816.6	4666.5
0.00007	286.6	1273.9	2694.3	3663.4	4477.1
0.0003	352.9	1322.0	2599.2	3797.6	4720.4
0.006	351.8	1410.3	2711.6	3301.1	4634.3
0.046	731.1	1527.9	2811.3	3786.4	3902.2
0.071	880.4	1606.5	2767.1	3552.4	3706.4
0.078	981.1	1544.0	2584.0	3694.6	--undefined--
0.078	965.7	1516.2	2576.6	3645.5	4382.6
0.071	973.3	1592.0	2539.8	3795.0	--undefined--
0.041	730.4	1555.1	2517.7	3856.3	5088.2
0.015	590.1	1567.7	2573.2	3270.3	4403.7
0.007	491.7	1632.5	2472.3	3674.2	4474.7
0.003	435.0	1511.3	2490.5	3419.5	4682.2
0.0003	416.3	1468.2	2539.5	3670.6	4505.4
0.0008	394.6	1396.4	2508.0	4140.1	4550.2
0.010	873.8	1248.7	2807.7	4511.8	4724.6
0.013	483.7	1089.3	2624.5	3536.0	4432.0
0.013	580.5	899.6	2830.6	3540.1	4994.5
0.013	493.7	862.5	2898.2	3475.8	--undefined--
0.006	463.3	946.7	2800.0	3409.8	5280.5
0.018	535.9	853.7	2933.1	3437.1	--undefined--
0.040	657.2	914.1	2803.0	3403.6	--undefined--
0.040	696.7	947.3	2826.8	3480.6	4299.5
0.032	728.9	954.1	2795.5	3525.3	--undefined--
0.030	771.2	993.3	2824.8	3485.2	--undefined--
0.030	764.6	1023.5	2672.7	3532.0	4366.4
0.030	753.5	1039.5	2673.3	3588.7	--undefined--
0.025	630.9	1045.1	2708.9	3466.0	3739.8
0.010	586.4	1047.6	2715.3	3369.6	3846.1
0.001	396.1	1149.2	2829.5	3743.2	--undefined--
0.002	303.3	1109.2	2657.1	3658.6	4165.5
0.003	508.8	1056.6	2664.2	3416.5	4308.1
0.003	482.5	896.6	2698.0	3390.0	4383.2
0.002	449.9	886.8	2712.4	3396.9	4346.6
0.005	503.5	862.4	2666.8	3393.3	4229.2
0.006	459.1	1034.3	2619.7	3371.4	4199.2
0.008	441.6	1184.9	2546.1	3400.6	4280.0
0.008	410.1	1374.3	2492.6	3387.8	4280.4
0.004	380.7	1498.0	2487.6	3357.4	4241.5
0.0006	355.8	1389.4	2448.3	3383.4	4719.3
0.0001	459.7	1447.2	2444.7	3713.5	5334.7
0.0006	479.6	1482.8	2473.5	3752.9	4925.0
0.010	1371.5	2425.4	3524.3	4758.5	--undefined--
0.057	622.6	1435.6	2506.1	3617.6	3675.1
0.066	757.0	1427.5	2553.3	3478.2	3687.0
0.066	850.4	1423.8	2725.0	3596.3	4213.8
0.039	874.0	1367.4	2644.8	3602.3	4810.0
0.039	890.8	1357.4	2670.6	3699.0	3753.7
0.036	925.6	1395.4	2769.5	3686.1	4949.1
0.032	971.6	1427.6	2738.4	3679.8	--undefined--
0.024	806.7	1413.5	2603.6	3648.2	--undefined--
0.016	766.0	1335.6	2715.3	3532.6	--undefined--
0.016	692.9	1501.8	2633.6	3788.1	--undefined--
0.012	519.7	1667.5	2406.6	3403.1	5028.4
0.0004	752.2	1310.7	3001.5	3726.4	--undefined--
0.0002	855.6	1213.2	3300.8	3872.8	--undefined--
0.00001	674.5	1378.0	2287.0	3234.0	--undefined--
0.00002	810.5	1423.1	2313.1	3199.6	--undefined--
0.00002	786.3	1451.5	2196.5	3016.7	--undefined--
0.0003	752.7	1562.0	2072.7	2826.3	--undefined--
0.001	383.9	2001.3	3051.3	3604.4	4967.1
0.002	400.6	1747.3	2487.3	3606.4	4883.1
0.002	373.8	1488.0	2561.6	3520.4	4423.0
0.001	385.4	1196.7	2577.8	3498.7	4357.1
0.0009	314.1	1044.5	2661.0	3554.5	4518.0
0.0003	311.5	1129.4	2643.2	3517.4	4642.8
0.0002	310.8	1155.3	2601.6	3504.4	4788.0
0.0008	237.7	1194.4	2587.0	3456.9	4963.6
0.004	287.3	1685.5	2536.8	3434.7	4892.7
0.006	375.3	1978.5	2572.9	3418.2	4408.6
0.006	347.5	2087.3	2647.8	3405.5	4328.1
0.005	319.5	2136.4	2723.0	3423.4	4320.0
0.003	309.0	2165.0	2734.8	3434.2	4348.3
0.002	317.4	2153.0	2671.3	3383.7	4195.7
0.001	314.4	2093.7	2567.6	3450.9	4127.6
0.0004	310.9	2200.9	2922.9	3937.9	4799.1
0.0001	557.1	2048.6	2913.1	3899.1	4798.7
0.00007	561.1	2225.7	3026.5	3966.0	4667.9
0.00007	581.6	2050.0	2875.7	4023.8	5016.9
0.0002	754.4	1935.1	3020.2	3867.3	4771.1
0.004	459.1	1565.9	2505.1	3846.7	4041.5
0.019	548.0	1479.6	2477.6	3420.9	3515.4
0.019	611.0	1440.5	2500.6	3199.6	3401.2
0.019	745.5	1382.1	2479.6	3440.0	--undefined--
0.019	713.0	1348.5	2456.9	3562.1	--undefined--
0.012	686.2	1325.6	2560.6	3569.1	--undefined--
0.010	719.5	1283.9	2580.1	3730.7	--undefined--
0.007	621.5	1411.2	2614.0	3817.8	--undefined--
0.0010	723.7	1359.8	2694.8	4147.5	--undefined--
0.0001	631.2	1306.8	2717.1	3937.9	--undefined--
0.00003	593.7	1193.5	2422.0	3467.6	--undefined--
0.000009	579.1	1282.5	2593.0	3678.3	--undefined--
0.000004	578.9	1284.9	2729.2	3703.3	--undefined--
0.000002	540.3	1404.0	2728.6	3715.1	--undefined--
0.0000009	538.4	1220.3	2630.8	3868.5	--undefined--
0.00000007	1434.7	2711.9	3246.9	--undefined--	--undefined--
0.0000000006	1174.2	2055.0	3310.7	5032.9	--undefined--
0.0000000006	1240.0	2275.6	3129.9	--undefined--	--undefined--
0.0000000006	1062.3	2181.8	2860.8	4437.6	--undefined--
0.0000000005	1037.8	1982.3	3124.9	4472.3	--undefined--
0.0000000005	1312.5	1980.8	2629.1	3806.2	--undefined--
0.0000000005	1214.1	2138.0	2699.0	4288.6	--undefined--
0.0000000005	1214.0	2129.1	3076.3	--undefined--	--undefined--
0.0000000005	1024.4	2124.2	2923.7	4576.9	--undefined--
0.0000000004	1371.5	2639.2	3267.4	--undefined--	--undefined--
0.0000000004	1331.5	2181.3	3223.4	--undefined--	--undefined--
0.0000000004	1141.6	2069.0	2969.3	3978.2	--undefined--
0.0000000004	1010.9	1899.3	2983.6	4368.6	--undefined--
0.0000000004	938.3	1848.6	2981.6	4057.4	--undefined--
0.0000000004	1164.9	2130.6	3044.3	5031.2	--undefined--
0.0000000004	1266.1	2138.3	3134.4	4890.1	--undefined--
0.0000000003	1305.2	2369.1	3115.5	3919.7	--undefined--
0.0000000003	1183.8	2148.8	3073.6	4982.9	--undefined--
0.0000000003	1173.7	1874.0	2907.4	4033.6	--undefined--
0.0000000003	913.1	1906.5	2969.7	4672.4	--undefined--
0.0000000003	1163.1	1995.1	2961.6	5007.4	--undefined--
0.0000000003	1016.6	2088.5	3048.7	4922.2	--undefined--
